store,labels,addr,lng,lat,lnum,label2,label3,area
远大购物中心特卖汇,购物服务;商场;购物中心,果戈里大街378号远大购物中心1F层,126.643674,45.76007,1,商场,购物中心,中心
人和新商城(东大直街店),购物服务;商场;普通商场|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,东大直街与建设街交叉口东50米,126.645156,45.759067,1,商场,普通商场,中心
秋林国际购物中心皮草广场(秋林国际购物中心店),购物服务;商场;购物中心|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,东大直街320号秋林国际购物中心2层,126.646507,45.760387,1,商场,购物中心,中心
大成商贸中心,购物服务;商场;普通商场,大成街17-7号,126.670956,45.760213,1,商场,普通商场,中心
文兴综合商场,购物服务;商场;普通商场,文兴街14号(近哈尔滨市师范大学西门),126.622539,45.725484,1,商场,普通商场,中心
松雷(南岗),购物服务;商场;购物中心,东大直街331号,126.643677,45.759297,1,商场,购物中心,中心
凯德广场(学府路),购物服务;商场;购物中心,学府路1-1号,126.608934,45.721167,1,商场,购物中心,中心
龙翔商场,购物服务;商场;普通商场,西大直街120-8号3层,126.624851,45.741739,1,商场,普通商场,中心
华融商场,购物服务;商场;普通商场,颐园街2号华融饭店1层,126.641271,45.759121,1,商场,普通商场,中心
哈尔滨地一大道香港城(22号门),购物服务;商场;购物中心,东大直街附122号附近,126.65749,45.769893,1,商场,购物中心,中心
百盛(太平桥店),购物服务;商场;购物中心,东直路118号,126.676302,45.783775,1,商场,购物中心,中心
玛克威商厦,购物服务;商场;普通商场,靖宇街168号,126.656601,45.789009,1,商场,普通商场,中心
阳光商城(景阳街),购物服务;商场;普通商场,景阳街27号,126.645061,45.769694,1,商场,普通商场,中心
千禧太阳购物广场(旗舰店),购物服务;商场;购物中心,南通大街3号,126.678139,45.783816,1,商场,购物中心,中心
南直商场,购物服务;商场;普通商场,南直路39号北京华联1楼,126.703525,45.781436,1,商场,普通商场,中心
益华商场(三棵树大街),购物服务;商场;普通商场,三棵树大街与南直路交叉口西50米,126.699147,45.793086,1,商场,普通商场,中心
玛克威外贸城,购物服务;商场;普通商场,靖宇街192号,126.654281,45.788731,1,商场,普通商场,中心
金蟾商厦,购物服务;商场;普通商场,道孝纯街与西顺街交叉口南50米,126.658027,45.786269,1,商场,普通商场,中心
太平桥百盛,购物服务;商场;普通商场,东直路124号附近,126.676433,45.78393,1,商场,普通商场,中心
馨苑购物中心,购物服务;商场;购物中心,东直路387-2号,126.69819,45.79164,1,商场,购物中心,中心
名优城,购物服务;商场;普通商场,南极街68号(近景阳街),126.648425,45.772218,1,商场,普通商场,中心
百盛购物中心(太平桥店),购物服务;商场;购物中心,东直路118号,126.677001,45.783997,1,商场,购物中心,中心
九维万家商场,购物服务;商场;普通商场,南勋街与南头道街交叉口南50米,126.642046,45.780413,1,商场,普通商场,中心
金龙商厦,购物服务;商场;普通商场,仁里街道南15道街151号,126.65718400000002,45.787188,1,商场,普通商场,中心
枫叶小镇奥特莱斯,购物服务;商场;购物中心,中源大道16999号,126.463625,45.821972,1,商场,购物中心,松北
松北购物中心,购物服务;商场;购物中心,聚源街377号,126.539726,45.811942,1,商场,购物中心,松北
西西里广场,购物服务;商场;购物中心,松北街道中源大道16999号枫叶小镇奥特莱斯,126.461357,45.822162,1,商场,购物中心,松北
米兰广场,购物服务;商场;购物中心,松北街道中源大道16999号枫叶小镇,126.463965,45.821028000000005,1,商场,购物中心,松北
融创茂,购物服务;商场;购物中心,世茂大道99号,126.502963,45.80331,1,商场,购物中心,松北
盛恒基生活广场,购物服务;商场;购物中心|风景名胜;公园广场;城市广场,松北街道中源大道8528号,126.571997,45.817935,1,商场,购物中心,师大
万达广场(香坊店),购物服务;商场;购物中心,衡山路17号,126.678091,45.740334,1,商场,购物中心,中心
松雷和平商业大厦,购物服务;商场;购物中心,和平路1号,126.650145,45.721526,1,商场,购物中心,中心
安埠商厦,购物服务;商场;普通商场,安埠街道延福街245号,126.693547,45.727303000000006,1,商场,普通商场,中心
香坊汇地下购物广场,购物服务;商场;购物中心,安埠街道延福街198号,126.695287,45.726647,1,商场,购物中心,中心
益华商场(红旗大街),购物服务;商场;购物中心,红旗大街68号,126.690144,45.727897,1,商场,购物中心,中心
万达广场(1),购物服务;商场;购物中心,六顺街道华山路10号,126.680881,45.740531,1,商场,购物中心,中心
香埠商业广场,购物服务;商场;普通商场,延福街172号,126.694436,45.726417,1,商场,普通商场,中心
松雷商业,购物服务;商场;普通商场,香坊大街街道和平路1号,126.649632,45.721568,1,商场,普通商场,中心
红旗地下商城(红旗大街),购物服务;商场;普通商场,红旗大街附38号,126.690357,45.725306,1,商场,普通商场,中心
乐松广场,购物服务;商场;普通商场,三大动力路2-8号附近,126.649382,45.719483,1,商场,普通商场,中心
香坊汇地下购物广场,购物服务;商场;普通商场,延福街251附近,126.69351100000002,45.726638,1,商场,普通商场,中心
苏宁易购广场(香坊店),购物服务;商场;普通商场,赣水路68号,126.678548,45.741326,1,商场,普通商场,中心
松松小镇(乐松购物广场店),购物服务;商场;普通商场|体育休闲服务;体育休闲服务场所;体育休闲服务场所,三大动力路8号乐松广场3层,126.64833,45.719763,1,商场,普通商场,中心
国泉商城(香坊大街店),购物服务;商场;普通商场,香坊大街附38号,126.688104,45.725306,1,商场,普通商场,中心
多样屋(万达广场),购物服务;商场;普通商场,衡山路与赣水路交叉口东南150米,126.67855,45.740817,1,商场,普通商场,中心
中旗商城,购物服务;商场;普通商场,三大动力路与体育头道街交叉口西北150米,126.64978,45.721438,1,商场,普通商场,中心
众盈综合商场,购物服务;商场;普通商场,横道街36号,126.686699,45.724257,1,商场,普通商场,中心
杉杉奥特莱斯广场·哈尔滨,购物服务;商场;购物中心,利民大道555号,126.559349,45.876286,1,商场,购物中心,师大
家得乐商城(兴城路),购物服务;商场;普通商场,学院路二道街98号,126.551509,45.869806,1,商场,普通商场,师大
家得乐商城,购物服务;商场;普通商场,学院路二道街69号附近,126.552152,45.869866,1,商场,普通商场,师大
JDL商城,购物服务;商场;普通商场,学院南路,126.551764,45.870045000000005,1,商场,普通商场,师大
